x,y
0.2541420781899866,0.18328834015951342
0.20095016782356936,0.23251239354824643
0.24869350588011407,0.12451886044111482
0.16148553656489473,0.10327178251529895
0.17786341642825085,0.06180591104831988
0.19192256621523734,0.20908812030718416
0.28726797835369067,0.14888096003419793
0.2345353520598758,0.07244134334817445
0.26334805336756545,0.1419949693956865
0.2808742487852661,0.20788575953221541
0.3604647527224615,0.4159556540821977
0.3303529448100755,0.3113239847343743
0.4334482348991245,0.4317016140366148
0.4740389511860253,0.3881420232363123
0.5934190345583057,0.4576531729767613
0.5093169746589994,0.4722663216301603
0.5749101949573473,0.42891558165997645
0.6139132376067866,0.45077979195461515
0.6152611235420332,0.5276540044756353
0.6039256712074992,0.5706781627820615
0.7607277452206843,0.5823456967617374
0.736691751561171,0.6422893380068645
0.8735269000485167,0.6823976076672872
0.7941413182617792,0.5978162240127142
0.823744612565724,0.7107507881948405
0.7787225558394764,0.6349669580964169
0.7775149293176419,0.6995600277687277
0.8346950539053432,0.7189163290349977
0.9359838767150164,0.7361447644497104
0.8785699063358909,0.7265385537594389
0.9861219415133798,0.7845098623261478
